"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.82735016176096","5.63978558128222","5.58460156276731","5.54846709928273","5.42231527032843","5.31549144885353","5.25722947610606","5.2570606307705","5.43866797163144","5.35721248733216","5.07896548958631","4.76595882635887","4.4504712608232","4.24849784690935","4.13827224054899","4.04447398553487","3.96218961712056","3.80730528051823","3.74279831366123","3.75052649930988","","",
"Afganistán","AFG","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","4.8","4.6","4.6","4.6","4.5","4.4","4.3","4.2","4","3.9","3.8","3.7","3.7","3.6","3.6","3.6","3.4","3.5","3.6","","",
"","AFW","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.72333364449604","3.6742097854719","3.61756823451278","3.55555509333442","3.55172515616591","3.50438795386651","3.55259922284914","3.47200732045693","3.37340899719326","3.35017662675139","3.30926538512857","3.19189230322039","3.12350468527635","3.10559631232088","2.99831109132409","2.87757321290819","2.81737567554949","2.76627743440721","2.72630077153842","2.67699687799187","","",
"Angola","AGO","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","3.2","3.4","3.6","3.6","3.4","3.6","3","3.2","2.7","2.9","2.7","2.7","2.6","2.4","2.6","2.6","2.4","2.3","2.3","","",
"Albania","ALB","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.9","3","3.3","3.1","5.2","5.8","5.8","6","6","6.1","8.3","3.4","3.5","3.2","3.2","3.1","2.9","2.8","2.7","","",
"Andorra","AND","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.23239490481807","3.18141333011554","3.12821250271908","3.05542918156656","3.00707804133169","2.97589473495501","2.91282590064145","2.86476308500227","2.83413888176175","2.82076801890293","2.82727593141778","2.80345648085459","2.80476573570633","2.73123526924156","2.66686203736829","2.64959167182627","2.58235370499985","2.5372211967486","2.52188930199109","2.47936738815672","","",
"Emiratos Árabes Unidos","ARE","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","3.9","3.7","3.5","3.5","3.4","3.5","3.3","3.2","3.2","3.3","3.2","3.2","3.2","3.1","3","2.9","2.8","2.9","3","","",
"Argentina","ARG","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","4","4.2","3.8","3.6","3.6","3.3","3.3","3.3","3.2","3.2","3.3","3.5","3.2","3.7","3.3","3.1","3.5","3.6","3.3","","",
"Armenia","ARM","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1.3","1.3","1.1","2.1","2.1","3.2","3.1","2.7","1.9","3.5","4.4","4.4","5.2","4.6","3.7","2.6","0.7","0.9","1.3","","",
